제목,채널명,재생 수,좋아요 수
[파이널 무대] 누군가에게 불빛이 되고 싶은 김기태의 〈사랑한 후에〉♬ | JTBC 220228 방송,싱어게인2,142272,2101
[스페셜 무대] 꿈을 가진 이들에게✉️ 이승윤x신유미x박현규 〈흩어진 꿈을 모아서〉♬ | JTBC 220228 방송,싱어게인2,60294,4516
할 말은 한다! 기성용이 K리그 잔디에 분노한 이유,GOAL TV,34930,128
[거절 엔딩] 김세정 결혼하자는 안효섭에 단호한 거절,사내맞선,84900,762
※완벽※ 전체 1등 (?) 무대 찢은 김호중 ‘태클을 걸지마’♪,미스터트롯,1192719,16438
[단독] 여성 쫓아가 흉기 휘둘러…집에선 또 다른 시신 발견,JTBC뉴스,65610,72
👊분노 주의👊 가계부 ′검사′에 싸울 때마다 ′가출′하는 남편 | KBS Joy 220228 방송,무엇이든 물어보살,75425,294
반복되는 '동양인 축구 중계 논란’… 우연일까 차별일까 [스포츠타임],SPORTSTIME (스포츠타임),220827,1059
1화#하이라이트# 가진 자들의 급소 '군대' 그 안에 숨겨진 거악!,군검사 도베르만,25027,144
바이든 "핵전쟁 걱정할 필요 없어"...우크라 대사 "미친 짓",뉴스는 YTN,21583,15
김윤지 남편 최우성 이벤트에 감동의 눈물♥,동상이몽2_너는 내 운명,30354,81
이정재 "너무 큰 일이 벌어졌다"…'오징어 게임' 3관왕,JTBC뉴스,15106,25
[스페셜 무대] (텐션 UP🔥) '흥 100%' 무대↗ 정홍일x윤성x김기태 〈해야〉♬ | JTBC 220228 방송,싱어게인2,27506,699
[스페셜 무대] 이 조합 찬성이요✋🏻 이무진x김소연x이주혁 〈신호등〉♬ | JTBC 220228 방송,싱어게인2,33761,892
[파이널 무대] 독보적인 음색으로 들려주는 김소연의 〈사람들은 모두 변하나봐〉♬ | JTBC 220228 방송,싱어게인2,46723,684
[단독] '가출 중학생' 꾀어내 감금·추행...'용의자' 꾀어내 입건한 경찰,뉴스는 YTN,26423,28
〈싱어게인1〉 TOP3 인터뷰 👉 ＂〈싱어게인〉 1에 나와서 다행이다…＂ 🤣 | JTBC 220228 방송,싱어게인2,37722,2367
'결사항전' 벌이는 우크라군…러시아군은 곳곳에서 고전,SBS뉴스,47073,19
美 “핵전쟁 이길 수 없어”…러 중앙은행·국부펀드 추가 제재,KBS뉴스,10744,16
[파이널 무대] 당신의 쉴 곳 이곳🍂  음색 깡패 이주혁의 〈가시나무〉♬ | JTBC 220228 방송,싱어게인2,24237,507
[2회 예고] 안효섭 계속 피하는 김세정에 돌직구 고백!,사내맞선,40985,434
[파이널 심사평] 온전히 노래에만 빠져들 수 있었던 김기태의 무대👍 | JTBC 220228 방송,싱어게인2,26303,228
김세정 엘리베이터에서 마주친 안효섭에 당황,사내맞선,20860,265
[날씨] 삼일절 오전까지 전국 봄비...오후부터 미세먼지 유입,뉴스는 YTN,9378,8
[파이널 무대] 힘든 순간들 모두 지나가기를… 박현규의 〈지나간다〉♬ | JTBC 220228 방송,싱어게인2,24579,546
서울 강남서 치마 입은 여성 노려 불법촬영한 40대…2400장 찍었다,KBS뉴스,21669,8
러-우크라 5시간 회담 결과 '미공개'지만 파국은 피했다,SBS뉴스,10614,10
러시아-우크라이나 첫 협상 마무리...결론 못 내려,뉴스는 YTN,10994,7
[영상] 500년 된 마을 '보호수' 귀향 첫날 당한 화,SBS뉴스,9191,9
국민의힘 긴급 의총…'단일화 무산'에 우려 목소리,JTBC뉴스,12421,10
동네마트서 신한카드 못쓴다…소비자 불편 ‘어쩌나’,SBS Biz 뉴스,16864,17
김세정 안효섭에 비호감 인식 시켜주기 위해 ‘4차원’ 연기,사내맞선,18182,376
우크라-러시아 첫 회담 5시간 만에 종료…결과 못 내,JTBC뉴스,10271,11
[파이널 무대] 귀 열어 美친 고음 들어간다🔥 윤성의 〈그대 앞에 난 촛불이어라〉♬ | JTBC 220228 방송,싱어게인2,19133,260
[파이널 무대] (존재감 폭발↗️) 신유미만의 강산으로 재해석한 〈아름다운 강산〉♬ | JTBC 220228 방송,싱어게인2,19488,147
‘찾았다 내 사랑’ 설인아 첫눈에 반해 버린 김민규에 끌리는 마음,사내맞선,16566,193
럭키 봤느냐? 은 팀장의 럭키함을☆ 스매시 성공률 100% 은지원! | tvN 220228 방송,올 탁구나!,17800,133
설인아 안효섭 결혼 결심에 김세정 향해 터뜨리는 울분!,사내맞선,15638,217
김기태가 처음으로 행복이란 걸 느끼게 된 존재 '음악' | JTBC 220228 방송,싱어게인2,18365,264
세 차례 신고 · 추격전 벌이는 동안…경찰은 '감감무소식',SBS뉴스,7105,4
〈싱어게인2〉 우승자 김기태의 소감 ＂모두 다 힘내시길 바랍니다👊🏻＂ | JTBC 220228 방송,싱어게인2,15167,290
[이슈분석] '핵카드' 빼든 푸틴…핵 사용 가능성은?,TV조선 뉴스,2572,2
[날씨] 광주·전남 5mm 안팎 비소식 오후 초미세먼지 ‘나쁨’,KBS뉴스,4201,3
논란의 방역패스 중단…오늘부터 QR 인증 사라진다,JTBC뉴스,7281,8
러시아 제재 따른 원유 공급 차질 우려에 브렌트유 종가 100달러 돌파..비축유 방출 논의,뉴스는 YTN,7210,9
영남 50년 만의 겨울 가뭄...봄에는 중부까지 가뭄,뉴스는 YTN,5024,3
＂여기저기에 현수막을?!＂ 거제도의 명물 이주혁 ㅋㅋ | JTBC 220228 방송,싱어게인2,13191,105
러·우크라 첫 대면‥"즉시 철군" vs "나토 가입 포기",MBC뉴스,9265,6
언어 천재! 조우종 딸 6살 아윤이가 한방에 정리! 프리랜서와 아나운서의 차이는? | KBS 220227 방송,슈퍼맨이 돌아왔다,31031,168
택배노조 "CJ대한통운 점거농성 해제...파업은 계속",뉴스는 YTN,6150,2
〈싱어게인2〉 파이널 라운드 최종 1위 김기태 | JTBC 220228 방송,싱어게인2,16581,208
한동훈 자이언트핑크와 결혼 결심한 계기!,동상이몽2_너는 내 운명,7361,47
(귀를 의심) 임신 막달에 퇴근하고 와서 잠자리 요구한 남편🤬 | KBS Joy 220228 방송,무엇이든 물어보살,13546,21
김윤지×최우성 이상해  신혼집 깜짝 방문에 당황!,동상이몽2_너는 내 운명,9427,29
아픔도 극복한 아이 넷 사랑꾼 아빠의💘 충격적인 진단명 | KBS Joy 220228 방송,무엇이든 물어보살,10553,14
[결과 발표] 〈싱어게인2〉 파이널 라운드 TOP 4-6위 발표! | JTBC 220228 방송,싱어게인2,14097,73
美 러시아 중앙은행도 제재...푸틴 긴급 외화 통제,뉴스는 YTN,8242,10
김세정 맞선 자리에서 마주친 안효섭에 당황,사내맞선,13851,257
[날씨] 전국 곳곳에 비‥오후부터 미세먼지,MBC뉴스,9808,7
[기사+]폐허가 된 키예프 위성도시 '부차'... 민간인 영상에 담긴 치열한 싸움의 흔적,동아일보,29697,28
첫 소절부터 기절💫 김기태의 〈우연처럼 인연처럼 운명처럼〉♬ | JTBC 220214 방송,싱어게인2,197859,3098
[뉴스딱] 중국 누리꾼 선 넘은 악의적 전쟁 조롱,SBS뉴스,4991,4
합천 산불 경북 고령까지 확산…주민 100여 명 대피,JTBC뉴스,6643,3
한동훈 자이언트핑크와 결혼하기 어려웠던 이유 고백,동상이몽2_너는 내 운명,7494,40
[카라바오컵] 첼시 vs 리버풀 승부차기,SPOTV,189517,795
김세정×설인아 합작으로 신들린 연기 보여준 맞선 자리 회상!,사내맞선,9976,200
러-우크라 첫 협상 종료...제재 '맞보복'은 가속화,뉴스는 YTN,6033,9
[파이널 심사평] ＂입춘 같은 무대..＂ 시적인 평을 남긴 김이나 (세상 따뜻🥰) | JTBC 220228 방송,싱어게인2,17057,99
임관식 마친 여군들 단체 사진 논란…해명에도 '시끌',SBS뉴스,4957,2
합천·고령 산불 밤사이 계속...헬기 투입해 다시 진화,뉴스는 YTN,5295,3
QR코드 안 찍는다‥방역패스 120일 만에 중단,MBC뉴스,5492,3
文 "위협 막을 든든한 방어체계 구축"...튼튼한 안보 강조,뉴스는 YTN,7514,18
野 "시장이 그림 그리며 '천억만 있으면 돼'" 녹취록 공개,TV조선 뉴스,4254,15
합천·고령 산불 밤사이 계속...헬기 투입해 다시 진화,뉴스는 YTN,3567,2
자이언트핑크 한동훈 요리에 입맛 취향 저격♥,동상이몽2_너는 내 운명,6909,26
'완벽한 승리' PO 직행 확정에 한 걸음 더 다가간 GS칼텍스,프로배구 네이버스포츠,20516,77
((여운 甲)) 김기태의 짙은 감성이 묻어나는🍂 〈그날들〉♬ | JTBC 220221 방송,싱어게인2,157149,2940
안효섭 취임식 불참하고 뒷돈 받아 챙기는 회사 사람들에 경고!,사내맞선,8359,118
'축구장 280개' 사라졌다…경북 고령까지 번진 합천 산불,SBS뉴스,5816,7
박현규 뜻밖의 인맥?! 둘도 없는 친구 '마마무 문별&솔라' | JTBC 220228 방송,싱어게인2,10894,270
유미쌤 옛 제자 이진혁 두둥등장! 응원차 깜짝 방문😲 | JTBC 220228 방송,싱어게인2,10054,255
"90년대생은 못받아"...커지는 국민연금 개혁론,한국경제TV - 신속한 경제/증권 채널,8174,20
[단독] 성매매 앱 보고 갔더니 돌연 야구방망이 폭행‥신고도 못 해,MBC뉴스,43581,52
[이슈분석] 여야 대선 앞두고 대장동 의혹 공세,TV조선 뉴스,1447,4
유럽 동부전선에 병력 증원...전쟁이 바꾼 과거의 적대 관계,뉴스는 YTN,9011,11
우크라이나 대통령 EU 가입신청서에 서명..."즉시 승인해 달라",뉴스는 YTN,8485,8
＂잘 마치겠습니다!＂ 강박감을 털고 이제는 즐길 수 있게 된 김소연 | JTBC 220228 방송,싱어게인2,11155,84
"한국 댕기머리 너무 아름답다!"…정호연에 쏟아진 찬사,SBS뉴스,3922,12
김윤지 VS 최우성 한 지붕 아래 시월드로 의견 대립!,동상이몽2_너는 내 운명,6899,22
[영상] "드론으로 러시아 공격 성공" 우크라군이 공개한 영상 보니,JTBC뉴스,124670,236
‘착각에 빠진’ 김세정 송원석에 돌진하며 망쳐버린 커플의 케이크,사내맞선,9270,155
[여론 읽어주는 기자] 소수점마저 같은 초접전…'여기'서 판 갈린다,JTBC뉴스,18583,14
자이언트핑크 남편 한동훈과 보일러로 티격태격!,동상이몽2_너는 내 운명,5229,19
조보아 인질로 잡아 협박하는 병사 단칼에 제압한 안보현 | tvN 220228 방송,군검사 도베르만,8590,48
“너무 잘해!” 장혁 차태현과 만나면 부부 싸움 나는 이유 공개!,미운 우리 새끼,25226,89
“러시아-우크라이나 다시 협상하기로”…러시아 서방 제재 대응책 발표,KBS뉴스,5258,5
‘금손’ 기은세 김윤지×최우성 싱크대 문 리폼 스킬 발휘!,동상이몽2_너는 내 운명,7043,17
안효섭 이덕화에 결혼하겠다며 폭탄선언,사내맞선,10214,147
〈싱어게인2〉 파이널 라운드 최종 2위 김소연 | JTBC 220228 방송,싱어게인2,11698,92
"오미크론을 이용한 선거젼략 폭로" 건국대 이용식 의대 교수…강남역 자유문화제,미디어F,247215,1534
